id,name,latitude,longitude,start_trips,end_trips,total_trips
72,One Broadway / Kendall Sq at Main St / 3rd St,42.36224178650923,-71.0831107199192,2635,2663,5298
55,Boylston St at Massachusetts Ave,42.34740620525209,-71.08678414955648,5294,5367,10661
144,Rogers St & Land Blvd,42.366446738529454,-71.07654601335527,811,777,1588
445,Geiger Gibson Community Health Center,42.31886468217537,-71.04536797860419,839,876,1715
203,Columbia Rd at Ceylon St,42.309571999999996,-71.0729,209,197,406
342,Boylston St at Jersey St,42.34465062887831,-71.09732501226972,4065,4113,8178
437,Berkshire Street at Cambridge Street,42.37207657915397,-71.08995433905875,3128,3106,6234
58,Mugar Way at Beacon St,42.35553628489709,-71.07286870479585,3296,3320,6616
117,Binney St / Sixth St,42.36608797388682,-71.08633603909766,975,926,1901
233,St Mary's,42.346197076555455,-71.10728681087494,2103,2113,4216
531,Harvard St and Stedman St,42.3443517550051,-71.12490355968475,1219,1219,2438
100,Davis Square,42.396969,-71.123024,3204,3190,6394
239,Community Path at Cedar Street,42.39407223665884,-71.11133694648744,1052,1046,2098
60,Charles Circle - Charles St at Cambridge St,42.36079296858265,-71.07118962337151,5245,5259,10504
197,MLK Blvd at Washington St,42.32143814183195,-71.09126061201096,472,444,916
57,Massachusetts Ave at Columbus Ave,42.340814,-71.0816197,2441,2423,4864
36,Copley Square - Dartmouth St at Boylston St,42.349928282300574,-71.07739206866427,4127,4151,8278
433,Centre St at Parkway YMCA,42.28277901074054,-71.15728851416861,55,54,109
89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,2701,2731,5432
176,Lesley University,42.38674802045056,-71.11901879310608,1307,1320,2627
19,Park Dr at Buswell St,42.347241,-71.105301,2201,2215,4416
361,Deerfield St at Commonwealth Ave,42.349243769553006,-71.09728209692548,5303,5276,10579
566,Main Street/Albany Street/Technology Square,42.3629016,-71.09156690000002,1747,1752,3499
419,Central Square East Boston,42.37544912547037,-71.03918548682486,597,624,1221
86,Brookline Village - Station Street at MBTA,42.33274392304887,-71.11626680949485,1608,1602,3210
386,Sennott Park Broadway at Norfolk Street,42.36860524248197,-71.09930185605663,2754,2585,5339
52,Newbury St at Hereford St,42.348717,-71.085954,6887,7026,13913
405,Sydney St at Carson St,42.32039374304257,-71.05355408051764,388,394,782
106,Dudley Town Common - Mt Pleasant Ave at Blue Hill Ave,42.325333,-71.075354,524,491,1015
357,Centre St at Seaverns Ave,42.3121203,-71.11429809999998,957,952,1909
64,Congress St at Sleeper St,42.351004495946704,-71.04930013418199,1446,1508,2954
387,7 Acre Park,42.411432229734075,-71.06823265090497,362,437,799
204,Walnut Ave at Warren St,42.324081,-71.083235,503,378,881
10,B.U. Central - 725 Comm. Ave.,42.350406,-71.10827900000001,4101,4151,8252
335,Harvard St at Greene-Rose Heritage Park,42.36599432867437,-71.09522221614498,1836,1759,3595
196,Roxbury YMCA - Warren St at MLK Blvd,42.317873293456024,-71.08243077993394,373,371,744
272,Shawmut T Stop,42.292916999999996,-71.06575,186,181,367
255,Park St at Norwell St,42.29442578670662,-71.07821760713703,68,80,148
118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828000000004,-71.130516,1175,1172,2347
114,Teele Square,42.40231703379005,-71.12671129423688,504,489,993
234,Broadway at Central St,42.39517150121575,-71.09850591982195,392,347,739
139,Dana Park,42.361780439606044,-71.10809952020645,2039,1919,3958
74,Harvard Square at Mass Ave/ Dunster,42.373267999999996,-71.118579,10261,10295,20556
24,Seaport Square - Seaport Blvd at Northern Ave,42.35148193460858,-71.04436084628105,1613,1684,3297
416,Blossom St at Charles St,42.364355890279825,-71.0695936904267,1717,1713,3430
138,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,42.326599,-71.066498,893,1108,2001
76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426000000004,-71.10549499999999,3967,3787,7754
564,Raymond Park at Walden St,42.387369537471855,-71.12761001482795,461,471,932
515,955 Mass Ave,42.36895180540729,-71.10998779535294,3263,3092,6355
226,Commonwealth Ave At Babcock St,42.35154734791375,-71.12126246094705,2480,2471,4951
214,Airport T Stop - Bremen St at Brooks St,42.375341926705744,-71.03128910064696,569,612,1181
81,Chinatown T Stop,42.352409,-71.062679,4334,4367,8701
23,Boston City Hall - 28 State St,42.35892,-71.057629,3573,2909,6482
413,Kennedy-Longfellow School 158 Spring St,42.36955297756508,-71.08579014980933,2634,2562,5196
271,Ashmont T Stop,42.2856944,-71.0641389,312,290,602
343,Morton St T,42.280725142920296,-71.08617242434775,59,57,116
493,2 Hummingbird Lane at Olmsted Green,42.28887,-71.095003,18,18,36
103,JFK Crossing at Harvard St. / Thorndike St.,42.346551241753566,-71.1283321143128,743,716,1459
149,175 N Harvard St,42.363796,-71.129164,3305,3349,6654
26,Washington St at Waltham St,42.341574718737476,-71.06890439987183,1456,1447,2903
201,NCAAA - Walnut Ave at Crawford St,42.316902,-71.091946,258,154,412
363,Harrison Ave at Mullins Way,42.34521562115022,-71.0638403149278,2197,2171,4368
565,Wellington MBTA,42.402368200000005,-71.07573182424781,320,355,675
393,Swan St. Park,42.412504507772105,-71.05842225271772,144,133,277
402,Washington Sq,42.339858271262976,-71.13421171095978,874,850,1724
120,Beacon St at Charles St,42.356052000000005,-71.069849,3035,3034,6069
125,Hyde Square - Barbara St at Centre St,42.32176525723952,-71.10984160567114,1419,1411,2830
